id,phones,label,intent,text,data-type,file
11,"['p', 'ɛ', 'ɾ', 't', 'e', 'ɪ', 'n', 'tʂ', 'a', 'ɾ', 'ə', 'b̥', 'a', 'tʂ', 'l', 'ə', 'n', 't', 'l', 'a', 'i', 'z', 'uː', 'l', 'tʂ', 'uə']",2,SetLightBrightness,Set the entire appartment light to two,smart-lights-en-close,1007.wav
12,"['ʂ', 'ɛ', 'tʲ', 'j', 'ə', 'ɪ', 'n', 'f', 'ɹ̩', 'l', 'ts', 'ʊ', 'a', 'ɪ', 'ɛ', 'ɾʲ', 'i', 'ŋ', 'ə', 'n', 'd', 'ə', 'm', 't͡ʃ', 'a', 'ɾ', 'tʲ', 'u', 'lʲ', 'ɛ', 'x', 'ts', 'uː', 't', 'ʊ', 'ə', 'a', 'ʊ', 'f']",2,SetLightBrightness,Set the entrance lighting intensity to twelve,smart-lights-en-close,1008.wav
13,"['d͡ʒ̤', 'ɛ', 't', 'i', 'ʊ', 'ŋ', 'k', 'œ', 'ə', 'f', 'uə', 'ʁ', 'a', 'ɪ', 'ts', 'ʊ', 'ə', 'v', 'r', 'a', 'ɪ', 'v̞ʲ', 'ɪ', 'l', 's', 'ɛ', 'lʲ', 'ɪ', 'ŋ']",1,IncreaseBrightness,Set the entrance lights to a brighter setting,smart-lights-en-close,1009.wav
14,"['t͡ʃʲ', 'e', 'ɴ', 'iː', 'n', 'f', 'uː', 'i', 'iː', 'z', 'l', 'a', 'b̞', 'ɾ', 'ɒ', 'ð', 'ɪ', 'l̪', 'ɒ', 'e', 's', 'p', 'a', 'm', 'e', 'æ']",0,DecreaseBrightness,Can you please lower the lights for me,smart-lights-en-close,101.wav
15,"['p', 'e', 'ð', 'ɪ', 's', 'a', 'ɪ', 's', 'ɻ̩', 'l', 'i', 'l', 'iː', 'ʐ', 'l', 'a', 'ɪ', 't', 'uə', 'ɾ', 'ts', 'ɔ', 'l̪', 't', 'i', 'ŋ', 'n', 'a', 'ɪ', 'n']",2,SetLightBrightness,Set the facilities lights to thirty nine,smart-lights-en-close,1010.wav
16,"['ʃ', 'a', 'ts', 'ɪ', 'n', 'ɡ', 'a', 'l', 'ɾ', 'ə', 'ɪ', 'm', 'v', 'ɾ', 'a', 'ɪ', 'ɛ', 'ɪ', 'n', 'ə', 'n', 's', 't', 'ɛ', 'l', 'ə', 'v', 'ʊ', 's', 'b', 'uə', 'uː', 'a', 'ʊ', 'f']",2,SetLightBrightness,Set the garden brightness to level twelve.,smart-lights-en-close,1011.wav
17,"['t', 'a', 's', 'a', 'ʊ', 'ʁ', 'a', 'ʊ', 'b̞', 'ə', 'l', 'a', 'ɪ', 't', 'ɪ', 't', 'ə', 'n', 's', 'p', 'ʀ', 'ʁ', 'ɪ', 'z']",3,SetLightColor,Set the hallway lights to pink please.,smart-lights-en-close,1012.wav
18,"['s', 'a', 't̪', 'i', 'e', 'n', 's', 'æ', 'n', 't', 'ə', 'ð', 'j', 'ə', 'p', 'ɨ', 'tʂʰ', 'ɔ', 'ʏ', 'ð', 'o', 'l̪', 'a', 'i', 'l', 'i', 'n', 'tʂ', 'ə', 'tɕʰ', 'ə']",2,SetLightBrightness,Set the intensity of the toilet lighting to two,smart-lights-en-close,1013.wav
19,"['ts', 'ɛ', 'l', 't', 'ɪ', 'k', 'ɪ', 'n', 'ɪ', 't', 'p', 'a', 'ɪ', 'dʲ', 'ʏ', 'm', 'a', 'ɪ', 'n', 's', 't', 'f', 'ɛ', 'ə', 'f', 'a', 'r']",2,SetLightBrightness,Set the kids bedroom lights to five,smart-lights-en-close,1014.wav
20,"['tsʰ', 'ɪ', 'ð', 'ə', 'l', 'ɔ', 'n', 'tʂ', 'ɹ̩', 'ɪ', 'n', 'w', 'a', 'j', 'ɪ', 'ŋ', 't', 'u', 't͡ʃʲ', 'ɛ', 'n', 'b̥', 'ɹ̩', 's', 'ɻ̩']",2,SetLightBrightness,Set the laundry room lighting to ten percent,smart-lights-en-close,1015.wav
21,"['f', 'ɛ', 's', 't', 'ə', 'l', 'a', 'ɪ', 's', 'ð', 'a', 'ɪ', 'z', 'n', 'ɛ', 's', 'l', 'a', 'b̞', 'ɛ', 'l', 't', 'uə', 't', 'l', 'a', 'n', 'd', 'i', 't']",2,SetLightBrightness,Set the light brightness level to twenty,smart-lights-en-close,1016.wav
22,"['ʃ', 'ʀ', 'ɛ', 's', 't', 'ɹ̩', 'v', 'a', 'ɪ', 'k', 'a', 'ʊ', 'ɛ', 'l', 't', 'ə', 's', 'uː']",3,SetLightColor,Set the light color to blue,smart-lights-en-close,1017.wav
23,"['s', 'ɛ', 't', 'ə', 'l', 'a', 'j', 'tʰ', 's', 't', 'ɪ', 'm', 'ɹ̩', 'ɪ', 'n', 'ð', 'ə', 'ɔ', 'f', 'ə', 's']",0,DecreaseBrightness,Set the lights dimmer in the office,smart-lights-en-close,1019.wav
24,"['ɪ', 'n', 'ɪ', 'm', 'f', 'lʲ', 'ɪ', 's', 'sː', 'ə', 'ɪ', 's', 't', 'ɹ̩', 'b', 'a', 'f', 'ʏ', 'ə', 'm', 'a', 'ɪ', 'l', 's', 'ɪ', 'b', 'a', 'ɪ', 'ɾ']",2,SetLightBrightness,Can you please set the bathroom lights to five?,smart-lights-en-close,102.wav
25,"['t͡ʃʲ', 'a', 's̪', 'ə', 'v', 'a', 'ɪ', 'sː', 'ə', 'n', 'a', 'ʊ', 'ə', 'a', 'n', 'tʂ', 'ʏ', 'ə', 'v̞ʲ', 'a', 'n', 't͡ʃ', 'ɛ', 'l', 'a', 'ʀ', 'o', 't͡ʃʲ', 'ɪ']",2,SetLightBrightness,Set the lights in the laundry room to level two,smart-lights-en-close,1020.wav
26,"['s', 'ɛ', 'tʰ', 's', 'ə', 'w', 'a', 'j', 'd', 'z', 'ʌ', 'm', 'ð', 'ə', 'l', 'ɑ', 'n', 'dʒ', 'ɹ̩', 'n', 't', 'ə', 's', 'ɛ', 'v', 'ə', 'n', 't', 'iː', 'θ', 'ɹ', 'i']",2,SetLightBrightness,Set the lights in the laundry room to seventy-three.,smart-lights-en-close,1021.wav
27,"['ts', 'a', 'ɪ', 's', 't', 'a', 'b̞', 'a', 'ɪ', 's', 'ɪ', 'ə', 'n', 't', 'ɔ', 'ʏ', 'ʁ', 'ɪ', 's', 't', 'y', 'v̞ʲ', 'ɛ', 'ɾ']",3,SetLightColor,Set the lights in toilets to red,smart-lights-en-close,1022.wav
28,"['s', 'æ', 'n', 't', 'o', 'w', 'ɒ', 'n', 's̪', 'ʌ', 'b̞', 'ə', 'x', 'a', 'ɻ̩', 'i', 'n', 's', 'æ', 'n', 's̪', 'ɻ̩']",1,IncreaseBrightness,Set the lights to a higher intensity,smart-lights-en-close,1023.wav
29,"['s', 'ɒ', 's', 'a', 'b̞', 'w', 'a', 'i', 'ts', 'u', 'ə', 'h', 'a', 'ɪ', 'a', 'n', 'tʂʰ', 'æ', 'ɴ', 's', 'e', 'lʲ', 'i', 'ɡ', 'ʌ', 'ɳ', 'ə', 'tɕʰ', 'æ', 'ɴ', 'tʂ', 'o', 'l', 'ə']",1,IncreaseBrightness,Set the lights to a higher intensity in the changing room,smart-lights-en-close,1024.wav
30,"['s', 'ɒ', 'ɪ', 'tː', 'o', 'm', 'w', 'a', 'ɪ', 't͡ɕ', 'y', 'ə', 'ʁ', 'a', 'ɪ', 'o', 'ə', 'n', 'tʂʰ', 'æ', 'ɴ', 'tʂ', 'ə', 'ð', 'e', 'n', 'o', 'l', 'ə', 'ð', 'e']",1,IncreaseBrightness,Set the lights to a higher intensity in the living room,smart-lights-en-close,1025.wav
31,"['s', 'ɒ', 't', 'o', 'm', 'a', 'ɪ', 's', 'tʂ', 'ʊ', 'e', 'ɪ', 'm', 'a', 's', 't', 'uə', 'æ', 'e', 's', 'æ', 'ɾ', 'a']",0,DecreaseBrightness,Set the lights to a less bright setting,smart-lights-en-close,1026.wav
32,"['s', 'ɛ', 'ð', 'ə', 'l̪', 'a', 'ɪ', 'tʂ', 'ɨ', 'ə', 'm', 'a', 'b̞', 'ɹ̩', 'ɪ', 'tʰ', 'æ', 'n', 's', 'l', 'e']",0,DecreaseBrightness,Set the lights to a lower intensity,smart-lights-en-close,1027.wav
33,"['zʲ', 'a', 's̪', 'ɔ', 'ʁ', 'ɒ', 'ɪ', 's', 'zʲ', 'ɪ', 'n', 'x', 'ʏ', 'ɪ', 'n', 'ə', 'm', 'a', 'ʊ', 'ʁ', 'ə', 'a', 'lʲ', 'ʂ', 'v', 'e', 'ɾʲ', 'ɪ', 'ŋ', 'ə']",3,SetLightColor,Set the lights to green in the large meeting room.,smart-lights-en-close,1028.wav
34,"['ts', 'a', 't', 'o', 'w', 'a', 'ɪ', 'n', 's', 't', 'u', 't', 'ɛ', 'n', 'ɛ', 'n', 'd', 'ə', 'b̞', 'a', 's', 'ɹ̩', 'f', 'ɪ', 'ɔ']",2,SetLightBrightness,Set the lights to ten in the vestibule,smart-lights-en-close,1029.wav
35,"['k', 'ɪ', 'n', 'd', 'ɪ', 'ə', 'p', 'ʁ', 'ɪ', 's', 'f', 'a', 'ə', 'n', 't', 'a', 'm', 'a', 'b̞', 'ɪ', 's']",0,DecreaseBrightness,Can you please turn down the lights.,smart-lights-en-close,103.wav
36,"['ts', 'a', 'ɪ', 't', 'o', 'm', 'a', 'ɪ', 's', 'ts', 'ʏ', 'ð', 'ɪ', 'b̞', 'o', 'a', 'ɳ', 't', 'ɹ̩', 'z', 'ɹ̩', 'ʂ', 'e', 'ɾ']",5,SwitchLightOn,Set the lights to the on position,smart-lights-en-close,1030.wav
37,"['s', 'ɛ', 'θ', 'ə', 'l', 'a', 'j', 'tʰ', 'z', 'ts', 'ə', 'tʃ', 'f', 'ʌ', 'n', 'i', 't', 'u', 'ɪ', 'n', 'ð', 'ə', 'ɔ', 'f', 'ə', 's']",2,SetLightBrightness,Set the lights to twenty two in the office,smart-lights-en-close,1031.wav
38,"['t', 'a', 's', 'ð', 'o', 'l̪', 'a', 'ɪ', 'tʲ', 's', 't', 'ʏ', 't', 'ɔ', 'n', 'lʲ', 'i', 'tʲ', 'uː', 'p', 'ɾ', 'uː', 's', 'a', 'n', 'ə']",2,SetLightBrightness,Set the lights to twenty two percent,smart-lights-en-close,1032.wav
39,"['s', 'ɛ', 'x', 'ə', 'l', 'a', 'j', 'z', 't', 'ə', 'l', 'iː', 'ɹ', 'o', 'b̥', 'ɹ', 'ɤ̆', 'tʰ', 'n', 'ɪ', 's']",4,SwitchLightOff,Set the lights to zero brightness,smart-lights-en-close,1033.wav
40,"['s', 'ɛ', 'ð', 'ə', 'l', 'a', 'j', 'tʰ', 't', 'ə', 'lʲ', 'ɪ', 'w', 'ɹ̩', 'o', 'w', 'ɹ', 'a', 'j', 'tʰ', 'n', 'ə', 's', 'ɪ', 'n', 'ð', 'ə', 'ɑ', 'ɾ', 'ə', 's']",4,SwitchLightOff,Set the lights to zero brightness in the office,smart-lights-en-close,1034.wav
41,"['b̥', 'ɛ', 'r', 'ɾ', 't', 'ə', 'n', 'l', 'i', 'lʲ', 'ɪ', 'ŋ', 'ɹ', 'ʌ', 'n', 's', 'l', 'a', 'j', 'z', 'd', 't', 'ə', 'd', 'ɹ', 'ɒ', 'n', 't', 'i']",2,SetLightBrightness,Set the living room's light to twenty,smart-lights-en-close,1035.wav
42,"['ts', 'ə', 'n', 'z', 'ɹ̩', 'pʲ', 'ɪ', 'ɕ', 'ɔ', 'n', 'a', 'ɪ', 'n', 's', 't', 'u', 'f', 'a', 'ɪ']",2,SetLightBrightness,Set the patio lights to five.,smart-lights-en-close,1036.wav
43,"['t͡ʃ', 'a', 's', 't', 'ə', 'm', 'a', 's', 't', 'uː', 'b', 'a', 'ʁ', 'm', 'a', 'ɪ', 'l', 't', 'a', 'l', 'ð', 'ə', 'v', 'ɔ', 's', 'ð', 'ɛ', 'lʲ', 'i', 'n', 'h', 'a', 'ɪ', 'n']",2,SetLightBrightness,Set the vestibule lights to level thirty nine,smart-lights-en-close,1037.wav
44,"['ʂ', 'a', 'ɪ', 'n', 'f', 'ɔ', 'm', 'a', 'ɪ', 'ɛ', 'ɡ', 'ə', 'n', 'j', 'ə']",5,SwitchLightOn,Shine some light in here,smart-lights-en-close,1038.wav
45,"['ɒ', 'j', 'ɲ', 'ts', 'ʌ', 'm', 'l̪', 'a', 'j', 'k', 'ə', 'n', 'ɹ']",5,SwitchLightOn,Shine some light in here.,smart-lights-en-close,1039.wav
46,"['k', 'ɪ', 'ɴ', 'n', 'd', 'ə', 'f', 'ʁ', 'œ', 'l', 'ə', 'n', 'w', 'a', 't͡ʃ', 'a', 'ʁ', 'n', 'ɪ', 'n', 'ð', 'ə', 'l', 'æ', 'ə', 'k', 'ɔ', 'ɾ']",5,SwitchLightOn,Can you put lights on in the backyard?,smart-lights-en-close,104.wav
47,"['ʃ', 'a', 'j', 'n', 'ts', 'ə', 'n', 'l', 'e', 'j', 'z', 'ɪ', 'n', 'ð', 'ə', 'ɔ', 'l', 'f', 'ɪ', 's']",5,SwitchLightOn,Shine some lights in the office,smart-lights-en-close,1040.wav
48,"['t͡ʃʲ', 'a', 'ɪ', 'n', 'ð', 'ə', 'l', 'a', 'ɪ', 'x', 't', 'a', 'l', 's', 'lʲ', 'ɛ', 'm', 'ə', 'n', 'k', 'ɛ', 'l', 't']",2,SetLightBrightness,Shine the lights at level twelve,smart-lights-en-close,1041.wav
49,"['d', 'ə', 'm', 'a', 'ʊ', 'ə', 'n', 'm', 'ɪ', 't', 'iː', 'x', 'ɛ', 'l', 'ɔ̃', 'm', 'l', 'a', 'ɪ', 'x']",4,SwitchLightOff,Shut down the kids bedroom lights.,smart-lights-en-close,1042.wav
50,"['ʂ', 'a', 'tʰ', 'd', 'ɛ', 'n', 'ð', 'o', 'ʁ', 'v', 'a', 'ɪ', 's']",4,SwitchLightOff,Shut down the lights.,smart-lights-en-close,1043.wav
51,"['ʂ', 'ɔ', 'n', 'a', 's', 'o', 'ʁ', 'a', 'ɪ', 's', 'a', 'f', 'ɾʲ', 'j', 'ə', 'n', 't͡ʃ', 'v', 'ɛ', 't']",4,SwitchLightOff,Shut off the lights at the entrance,smart-lights-en-close,1044.wav
52,"['ʂ', 'ʌ', 'a', 't', 'o', 'l̪', 'a', 'ɪ', 'ts', 'ə', 'n', 'ɛ', 't', 'u', 'a', 'ɡ']",4,SwitchLightOff,Shut off the lights in the garage.,smart-lights-en-close,1045.wav
53,"['t͡ʃʲ', 'o', 'ɾ', 'ɔ', 's', 'a', 'l̪', 'a', 'i', 't͡ʃʲ', 'e', 'lʲ', 'ɳ', 'n', 'ə', 'ʁ', 'ə', 'uə']",4,SwitchLightOff,Shut off the lights in the loo.,smart-lights-en-close,1046.wav
54,"['t͡ʃʲ', 'ə', 't', 'ɔ', 'ɾ', 'ð', 'ɨ', 'l', 'a', 'ɪ', 'ð', 's', 'p', 'ɪ']",4,SwitchLightOff,Shut off the lights please.,smart-lights-en-close,1047.wav
55,"['ʃ', 'œ', 'ɾ', 'a', 's', 'ɔ', 'l', 'ə', 'a', 'n', 'ʃ', 'l', 'a', 'ɪ', 't']",4,SwitchLightOff,Shut off the lounge lights,smart-lights-en-close,1048.wav
56,"['t͡ʃʲ', 'œ', 'ts', 'uə', 'a', 'ɪ', 's', 't', 'a', 'ɴ', 'ɪ', 'm', 'ə', 'p', 'a', 'ʁ', 't', 'ɨ']",4,SwitchLightOff,Shut the lights down in the bathroom,smart-lights-en-close,1049.wav
57,"['ɪ', 'n', 'd', 'ɪ', 'f', 'ɔ', 'l', 'lʲ', 's', 't', 'ɛ', 'ə', 'v', 'a', 'ɪ', 's', 't', 'tɕ', 'ɪ', 'n', 'f', 'uə', 'w', 'a', 'ə', 'ʁ', 'ɡ', 'ə', 'n', 'ɛ', 'n', 'k', 's', 'l', 'ɪ', 'ŋ', 'k', 'v', 'ɛ', 'l', 't', 'a', 'ʊ', 'f']",2,SetLightBrightness,Can you put the lights to twelve in the cubicle?,smart-lights-en-close,105.wav
58,"['ɪ', 'ʃ', 'ɔ', 't', 'ð', 'ɔ', 'ʁ', 'a', 'ɪ', 'ɾ', 's', 'tʲ', 'ɑ', 'ʁ', 'œ̃', 'n', 'ə', 'mʲ', 'e', 'ʀ', 'ə', 'n', 't͡ʃʲ', 'v̞ʲ', 'ɛ', 't']",4,SwitchLightOff,Shut the lights down in the entrance,smart-lights-en-close,1050.wav
59,"['ʂ', 'a', 'f', 't', 'ɾ', 'ɹ̩', 'l̪', 'a', 'ɪ', 's', 'l', 'a']",4,SwitchLightOff,Shut the lights off.,smart-lights-en-close,1051.wav
60,"['ə', 'n', 'ʁ', 'a', 'f', 'ə', 's', 't', 'b', 'ɪ', 'zʲ', 'a', 's', 'k', 'ɹ̩', 'n', 'ɛ', 'k', 't', 'ə', 'ts', 'a', 'ɪ', 'ɛ', 'b̞', 'a', 'ʊ', 's', 't', 'ɛ', 'l', 'f', 't', 'ə', 'b', 'a', 'ɪ', 'ɛ', 'ɪ', 's', 'a', 'f', 't', 'a', 'ɪ', 'm']",2,SetLightBrightness,"Sir, in the office please set the connected light bulbs to the brightness of ten. ",smart-lights-en-close,1052.wav
61,"['ʃ', 'ɻ̩', 'f', 'ʁ', 'ɪ', 's', 'd', 'a', 's', 'b', 'a', 'ɪ', 'j', 'n', 'ɛ', 's', 't', 'a', 'ts', 'ɛ', 'k', 't', 'l', 'a', 'k', 't̪', 'ə', 'l', 'a', 'ɪ', 't', 'ɪ', 'm', 'p', 'ʁ', 'ɔ', 'ʁ', 'm', 't͡ʃ', 'ɪ', 'n', 'f', 'ə', 'n', 'tʲ', 'ɪ']",2,SetLightBrightness,"Sir, please set the brightness of the connected light bulbs to fifty. ",smart-lights-en-close,1053.wav
62,"['k', 'ɪ', 't͡ʃʲ', 'uː', 'v', 'ɪ', 't', 'ɛ', 'b̞', 'v', 'a', 'ɪ', 's', 't', 'ɹ̩', 'ts', 'ʏ', 'ə', 'ɾʲ', 'i', 'n', 'a', 'ɪ', 'n', 'ə', 'n', 'f', 'œ', 'lʲ', 's', 'a', 'ɪ', 'ɛ', 'm', 'l', 'ɛ', 'k', 't', 'ɾʲ', 'ʏ', 'b', 'e', 'k', 'ɔ', 'ʁ']",2,SetLightBrightness,Situate the lights to thirty nine percent in the cubicle,smart-lights-en-close,1054.wav
63,"['s', 't', 'a', 'f', 'w', 'a', 'ɪ', 'ə', 'n', 'ɪ', 'ŋ', 'k', 'ð', 'ɪ', 'x', 'i', 'b', 'ɛ', 'k', 'ɔ', 'ʁ']",4,SwitchLightOff,Stop the lighting in the cubicle,smart-lights-en-close,1055.wav
64,"['s', 't', 'a', 'f', 'sː', 'ə', 'l̪', 'a', 'ɪ', 't']",4,SwitchLightOff,Stop the lights,smart-lights-en-close,1056.wav
65,"['s', 't', 'ɑ', 'f', 't', 'ð', 'ə', 'l', 'a', 'j', 'z', 'f', 'ɹ', 'ʌ', 'm', 'ʃ', 'a', 'j', 'n', 'ɪ', 'ŋ', 'æ', 'n', 'ð', 'ə', 'm', 'æ', 'θ', 'ɹ', 'm']",4,SwitchLightOff,Stop the lights from shining in the bathroom,smart-lights-en-close,1057.wav
66,"['d', 'ɔ', 'ə', 'ð', 'e', 'l', 'a', 'ɪ', 'ɛ', 's', 'f', 'ʌ', 'n', 't͡ʃʲ', 'a', 'ɪ', 'ə', 'n', 'ɪ', 'ŋ', 'ɪ', 'n', 'l', 'ɪ', 'ʂ', 'ɛ', 's']",4,SwitchLightOff,Stop the lights from shining in the shed.,smart-lights-en-close,1058.wav
67,"['s', 't', 'a', 'ə', 'f', 't', 'a', 'l̪', 'a', 'ɪ', 'x', 't', 'ə', 'v̞ʲ', 'ɪ', 'ɑ', 'n']",4,SwitchLightOff,Stop the lights to be on,smart-lights-en-close,1059.wav
68,"['k', 'e', 'ɲ', 'uə', 'ɹ', 'e', 'z', 'uə', 'a', 'ɪ', 'i', 'tɕʰ', 'iː', 'ɳ', 'ə', 'uə', 'ɛ', 'l̪', 'ɪ', 's']",1,IncreaseBrightness,Can you raise the lights in the toilets,smart-lights-en-close,106.wav
69,"['s', 't', 'a', 'ʁ', 'ð', 'a', 'l̪', 'a', 'ɪ', 's']",4,SwitchLightOff,Stop the lights.,smart-lights-en-close,1060.wav
70,"['s', 'u', 'ɥ', 'ɪ', 't͡ʃʲ', 'a', 'ɒ', 'ð', 'ʌ', 'm', 'w', 'a', 'ɪ', 's', 'lʲ', 'ə', 'k', 'a', 'n', 'p', 'ɯ', 'z', 'a', 'ɕː', 'ɻ̩', 'ɪ', 'n', 'ə', 'p', 'a', 's', 'iː', 'd', 'ɪ', 'ɔ', 'n']",4,SwitchLightOff,Switch all of the lights to the off position in the vestibule,smart-lights-en-close,1061.wav
71,"['s', 'ɥ', 'i', 'tʲ', 'p', 'l', 'a', 'ɪ', 'k', 'a', 'l', 'a', 'ɾ', 'tʂ', 'ʊ', 'l', 'o']",3,SetLightColor,Switch light color to blue,smart-lights-en-close,1062.wav
72,"['ʃ', 'uə', 'i', 'l', 'tɕʰ', 'm', 'ɛ', 'ʁ', 'w', 'a', 'ɪ', 's', 'a', 'ɪ', 'm', 'e', 'ʊ']",5,SwitchLightOn,Switch my lights on now,smart-lights-en-close,1063.wav
73,"['tʂʰ', 'uə', 'zʲ', 'y', 'ʁ', 'ə', 'f', 'ɔ', 'a', 's', 'k̟ʲ', 'e', 'b̞', 'y', 'ʁ', 'ɒ', 'a', 'ɪ', 'l', 'e']",4,SwitchLightOff,Switch off all exterior lighting.,smart-lights-en-close,1064.wav
74,"['p', 'ɪ', 't͡ʃʲ', 'ɔ', 's', 'm', 'ɔ', 'l', 'm', 'iː', 't', 'iː', 'ŋ', 'ɾ', 'u', 'm', 'l', 'a', 'ɪ', 'ɾ']",4,SwitchLightOff,Switch off small meeting room lights.,smart-lights-en-close,1065.wav
75,"['d', 'uə', 'ʊ', 'ɪ', 't͡ʃʲ', 'a', 'ʊ', 'f', 'd', 'ə', 'n', 'd', 'o', 'ɾ', 'a', 'ʐ', 'l', 'a', 'ɪ', 't']",4,SwitchLightOff,Switch off the garage lights.,smart-lights-en-close,1066.wav
76,"['f', 'w', 'ɛ', 'l', 'ʃ', 'a', 'ə', 'f', 'ð', 'ɔ', 'h', 'a', 'ɪ', 't']",4,SwitchLightOff,Switch off the lights,smart-lights-en-close,1067.wav
77,"['s', 'w', 'ɛ', 'd͡ʒ', 'ɒ', 'l', 'a', 'j', 'n', 'æ', 'f', 't', 'ɹ̩', 'm', 'i', 'm', 'i', 'j', 'ɯ', 'f', 'ɔ', 'ɹ', 'l', 'ə', 'tʂʰ', 'ɹ', 'ə']",4,SwitchLightOff,Switch off the lights after we leave for the trip,smart-lights-en-close,1068.wav
78,"['ts', 'uə', 'ʊ', 'l', 'tʲ', 'ə', 'a', 'ʁ', 's', 'ɛ', 't͡ʃʲ', 'ə', 'n', 'l', 'a', 'ɪ', 't']",4,SwitchLightOff,Switch off the shed lights.,smart-lights-en-close,1069.wav
79,"['k', 'n', 'i', 'ʂ', 'ɛ', 'l', 'ɛ', 's', 'ɪ', 'ɴ', 'g', 'ʁ', 'a', 'ɪ', 'i', 'z', 'ə', 'n', 'ə', 'v', 'a', 'ɪ', 's', 'ɹ', 'œ', 'n', 't͡ʃ']",3,SetLightColor,Can you set a pink light in the basement?,smart-lights-en-close,107.wav
80,"['ʃ', 'uə', 'ʊ', 't͡ʃʲ', 'ə', 'ʁ', 'lʲ', 'm', 'a', 'l', 'ð', 'a', 'tɕʰ', 'ə', 'ɔ', 'ʐ', 'w', 'a', 'ɪ', 'i', 'ɾ', 'ɪ', 'ə']",5,SwitchLightOn,Switch on my backyard lighting,smart-lights-en-close,1070.wav
81,"['ts', 'w', 'ɛ', 'x', 'ə', 'a', 'ə', 'n', 'a', 'ɪ', 'n', 'k', 'ɪ', 'ŋ', 'k', 'ɛ', 'l', 'f', 'ɔ', 'ə', 'b̞', 'a', 'ɪ', 'ɛ', 't', 'ʀ', 'ɪ', 'ə', 'ʃ']",5,SwitchLightOn,Switch on my cubicle light please,smart-lights-en-close,1071.wav
